variant,iter,objective,primal_l2,primal_rel,dual_fp_rel,omega,elapsed_sec
baseline,200,-6.708242598431665e+30,6.708239318010855e+30,1.5230188122116291e+26,0.0,5.231658660416763e-37,2.7321903000120074
baseline,210,-5.083894976061506e+32,5.083892256842672e+32,1.1542318601603437e+28,0.0,6.903217557378321e-39,2.8479251000098884
baseline,220,-3.8528703080016583e+34,3.8528680706116594e+34,8.747437702104928e+29,0.0,9.108853354966604e-41,2.9681371999904513
baseline,230,-2.919928524081146e+36,2.919926694657995e+36,6.629315197958255e+31,0.0,1.2019207975405566e-42,3.107510600006208
baseline,240,-2.2128911957932274e+38,2.212889707978928e+38,5.0240793371110203e+33,0.0,1.5859444804232095e-44,3.2494567000539973
baseline,250,-1.6770573379990771e+40,1.6770561336417287e+40,3.807538639555614e+35,0.0,2.0926668728419553e-46,3.3868313999846578
baseline,260,-1.2709713814008361e+42,1.2709704104743114e+42,2.885573625436331e+37,0.0,2.7612912012068075e-48,3.525709699955769
baseline,270,-9.632158979322143e+43,9.63215118015302e+43,2.186855112645186e+39,0.0,3.643546433734426e-50,3.644224200048484
baseline,280,-7.299809429715176e+45,7.299803184977664e+45,1.6573257227590995e+41,0.0,4.8076893527429444e-52,3.7926363999722525
baseline,290,-5.532219625579547e+47,5.532214639801017e+47,1.256017647877824e+43,0.0,6.343785319754577e-54,3.9493242000462487
baseline,300,-4.1926374911310894e+49,4.1926335207821635e+49,9.51883113012394e+44,0.0,8.370676285475129e-56,4.089851800003089
baseline,310,-3.1774243844309656e+51,3.177421230097487e+51,7.213923174693837e+46,0.0,1.1045175132045639e-57,4.217589700012468
baseline,320,-2.408036939390583e+53,2.408034438690121e+53,5.4671301614594405e+48,0.0,1.4574197677417897e-59,4.348118299967609
baseline,330,-1.8249504422170407e+55,1.8249484635584135e+55,4.1433090108364485e+50,0.0,1.9230770946828924e-61,4.506301400018856
baseline,340,-1.3830536147645712e+57,1.3830520519617472e+57,3.1400404689650164e+52,0.0,2.5375156207551073e-63,4.672875700052828
baseline,350,-1.0481585150268522e+59,1.048157282704211e+59,2.3797052908191326e+54,0.0,3.3482720971554077e-65,4.813693100004457
baseline,360,-7.94355537832122e+60,7.943545675760073e+60,1.8034791137165796e+56,0.0,4.4180716311166237e-67,4.951613200013526
baseline,370,-6.020088813064468e+62,6.020081184575098e+62,1.3667814251248075e+58,0.0,5.8296804800607e-69,5.108820899971761
baseline,380,-4.562373953278323e+64,4.562367963314367e+64,1.0358265271937027e+60,0.0,7.692309349422621e-71,5.260767400031909
baseline,390,-3.457632805227996e+66,3.457628107560942e+66,7.850096580943845e+61,0.0,1.0150062591358015e-72,5.398415200063027
baseline,400,-2.620395656824135e+68,2.6203919768259474e+68,5.9492604346407415e+63,0.0,1.3393086984499097e-74,5.5414079000474885
baseline,410,-1.9858885959624568e+70,1.9858857162313147e+70,4.508696188882394e+65,0.0,1.767228263039159e-76,5.668353599961847
baseline,420,-1.5050221886940937e+72,1.5050199374431094e+72,3.4169527484286387e+67,0.0,2.3318714088500815e-78,5.798586799995974
baseline,430,-1.1405936090228636e+74,1.140591850736543e+74,2.5895659999234132e+69,0.0,3.0769223509655364e-80,5.929340500035323
baseline,440,-8.644083926262354e+75,8.644070205680393e+75,1.9625241308822343e+71,0.0,4.0600227350651026e-82,6.087032799958251
baseline,450,-6.550991348642183e+77,6.550980650837839e+77,1.487315269577904e+73,0.0,5.357231138224392e-84,6.233913099975325
baseline,460,-4.964723735605194e+79,4.964715401172636e+79,1.1271742993666544e+75,0.0,7.068907412159254e-86,6.3731619999744
baseline,470,-3.762557608221038e+81,3.7625511198598717e+81,8.54238476863661e+76,0.0,9.327477116104317e-88,6.490089799975976
baseline,480,-2.8514859710427854e+83,2.851480923401598e+83,6.473917943480552e+78,0.0,1.230767674113485e-89,6.604429600061849
