variant,iter,objective,primal_l2,primal_rel,dual_fp_rel,omega,restart_count,elapsed_sec
baseline,1800,0.0,0.27264035574479845,3.2848093046013393e-05,3.1333617122790994e-06,0.00014747281445632256,22,1.8539656000211835
baseline,1900,0.0,0.6476312175728507,7.802751883968597e-05,1.1687303459583977e-06,0.00014747281445632256,22,1.9204398000147194
baseline,2000,0.0,0.41327773917616795,4.979228255926972e-05,1.8997800165843229e-06,0.00013839409584857828,23,2.025991100119427
baseline,2100,0.0,0.20755627151564618,2.500667115256887e-05,2.876549531301847e-06,0.00022070205262573092,24,2.1117358999326825
baseline,2200,0.0,0.22897822970430917,2.758761876719006e-05,2.166004713742713e-06,0.00020426094987524964,25,2.2134112999774516
baseline,2300,0.0,0.3039993595828002,3.6626269879325516e-05,1.0794109154420804e-06,0.00017829368520501515,26,2.291725300019607
baseline,2400,0.0,0.2810353818995199,3.385953758987295e-05,1.0226194806711109e-06,0.0002743867521664713,27,2.386473699938506
baseline,2500,0.0,0.19799849272407766,2.3855136537669342e-05,1.9950770397346113e-06,0.0002743867521664713,27,2.4535980001091957
baseline,2600,0.0,0.2230528595687142,2.6873721849712882e-05,1.0885061490465315e-06,0.00031535060105551015,28,2.56946190004237
baseline,2700,0.0,0.20808017367447493,2.5069791620605235e-05,7.841382773945717e-07,0.0003480850204053589,29,2.660663800081238
baseline,2800,0.0,0.17806444352117654,2.1453454287762e-05,9.86152023010603e-07,0.0006542741187721068,30,2.764331900049001
baseline,2900,0.0,0.1545177442220124,1.8616514879461663e-05,1.98169196114569e-06,0.0006542741187721068,30,2.856089999899268
baseline,3000,0.0,0.15468233307925672,1.863634477618524e-05,1.8877231603211482e-06,0.0006542741187721068,30,2.9465197999961674
baseline,3100,0.0,0.145348060438814,1.7511738496338974e-05,1.5833188371487193e-06,0.0009647425512571968,31,3.0376333999447525
baseline,3200,0.0,0.1434541569384524,1.7283558342193782e-05,1.6843962640587982e-06,0.0009647425512571968,31,3.151827699970454
baseline,3300,0.0,0.14490414634223353,1.745825510240385e-05,1.4930467599100076e-06,0.0009647425512571968,31,3.2467738001141697
baseline,3400,0.0,0.14629322579866874,1.7625613346595696e-05,1.2606794090360527e-06,0.0009647425512571968,31,3.3523975000716746
baseline,3500,0.0,0.14329842453989194,1.7264795484053367e-05,1.512521155733498e-06,0.0009647425512571968,31,3.4313068001065403
baseline,3600,0.0,0.13952345417111586,1.680998175121196e-05,1.7640163859890332e-06,0.0009647425512571968,31,3.5205411999486387
baseline,3700,0.0,0.13811253106281077,1.6639991753158415e-05,1.0707364949810037e-06,0.0019999842220070852,32,3.5986790999304503
baseline,3800,0.0,0.1355832137334646,1.6335256048312776e-05,1.751522214287118e-06,0.0019999842220070852,32,3.681142400018871
baseline,3900,0.0,0.13448263460114007,1.620265672843463e-05,1.9957505432493854e-06,0.0019999842220070852,32,3.7522553000599146
baseline,4000,0.0,0.13390842093155073,1.6133474658907773e-05,2.03995018355598e-06,0.0019999842220070852,32,3.8528446999844164
baseline,4100,0.0,0.13385470970469393,1.6127003454846333e-05,1.9518422722710367e-06,0.0019999842220070852,32,3.9275708000641316
baseline,4200,0.0,0.13189555329027097,1.5890961537952354e-05,2.1886574184669623e-06,0.0019999842220070852,32,4.015138699905947
baseline,4300,0.0,0.13119172614435926,1.5806163454726334e-05,2.2350813334400022e-06,0.0019999842220070852,32,4.091966999927536
baseline,4400,0.0,0.13054160555615119,1.5727836013015627e-05,2.2944108119932604e-06,0.0019999842220070852,32,4.175448199966922
baseline,4500,0.0,0.13115623536083665,1.5801887475272592e-05,1.9835933289486344e-06,0.0019999842220070852,32,4.242754800012335
baseline,4600,0.0,0.13116740019691062,1.5803232630406354e-05,1.8918214997941908e-06,0.0019999842220070852,32,4.331681000068784
baseline,4700,0.0,0.1302622115768666,1.5694174233918528e-05,2.018810214570097e-06,0.0019999842220070852,32,4.4003196998964995
baseline,4800,0.0,0.12970691891812133,1.5627271794357062e-05,2.0912102753653885e-06,0.0019999842220070852,32,4.486898500006646
baseline,4900,0.0,0.13077491849492973,1.575594588362117e-05,1.6927245357286104e-06,0.0019999842220070852,32,4.56537689990364
